time, data
0,-21.4469083969466
0.1220703125,-24.2682824427481
0.244140625,-54.9003435114504
0.3662109375,-54.9003435114504
0.48828125,-54.9003435114504
0.6103515625,-54.9003435114504
0.732421875,-54.9003435114504
0.8544921875,-54.9003435114504
0.9765625,-54.9003435114504
1.0986328125,-54.9003435114504
1.220703125,-54.9003435114504
1.3427734375,-54.9003435114504
1.46484375,-54.9003435114504
1.5869140625,-54.9003435114504
1.708984375,-54.9003435114504
1.8310546875,-54.9003435114504
1.953125,-54.9003435114504
2.0751953125,-54.9003435114504
2.197265625,-54.9003435114504
2.3193359375,-54.9003435114504
2.44140625,-46.0331679389313
2.5634765625,-44.8240076335878
2.685546875,-51.2728625954198
2.8076171875,-54.9003435114504
2.9296875,-53.6911832061069
3.0517578125,-54.9003435114504
3.173828125,-54.9003435114504
3.2958984375,-54.9003435114504
3.41796875,-54.9003435114504
3.5400390625,-54.9003435114504
3.662109375,-54.9003435114504
3.7841796875,-54.9003435114504
3.90625,-54.9003435114504
4.0283203125,-54.9003435114504
4.150390625,-54.9003435114504
4.2724609375,-54.9003435114504
4.39453125,-54.9003435114504
4.5166015625,-54.9003435114504
4.638671875,-54.9003435114504
4.7607421875,-54.9003435114504
4.8828125,-54.9003435114504
5.0048828125,-48.8545419847328
5.126953125,-48.4514885496183
5.2490234375,-54.9003435114504
5.37109375,-54.9003435114504
5.4931640625,-54.9003435114504
5.615234375,-54.9003435114504
5.7373046875,-54.9003435114504
5.859375,-54.9003435114504
5.9814453125,-54.9003435114504
6.103515625,-53.6911832061069
6.2255859375,-54.9003435114504
6.34765625,-54.9003435114504
6.4697265625,-54.9003435114504
6.591796875,-54.9003435114504
6.7138671875,-53.6911832061069
6.8359375,-53.6911832061069
6.9580078125,-54.9003435114504
7.080078125,-54.9003435114504
7.2021484375,-54.9003435114504
7.32421875,-54.9003435114504
7.4462890625,-53.6911832061069
7.568359375,-47.6453816793893
7.6904296875,-50.8698091603053
7.8125,-54.9003435114504
7.9345703125,-54.9003435114504
8.056640625,-54.9003435114504
8.1787109375,-54.9003435114504
8.30078125,-54.9003435114504
8.4228515625,-54.9003435114504
8.544921875,-54.9003435114504
8.6669921875,-54.9003435114504
8.7890625,-54.9003435114504
8.9111328125,-54.9003435114504
9.033203125,-54.9003435114504
9.1552734375,-54.9003435114504
9.27734375,-54.9003435114504
9.3994140625,-54.9003435114504
9.521484375,-54.9003435114504
9.6435546875,-54.9003435114504
9.765625,-50.8698091603053
9.8876953125,-54.9003435114504
10.009765625,-54.9003435114504
10.1318359375,-53.6911832061069
10.25390625,-54.9003435114504
10.3759765625,-54.9003435114504
10.498046875,-54.9003435114504
10.6201171875,-54.9003435114504
10.7421875,-54.9003435114504
10.8642578125,-54.9003435114504
10.986328125,-54.9003435114504
11.1083984375,-54.9003435114504
11.23046875,-54.9003435114504
11.3525390625,-54.9003435114504
11.474609375,-54.9003435114504
11.5966796875,-54.9003435114504
11.71875,-54.9003435114504
11.8408203125,-54.9003435114504
11.962890625,-54.9003435114504
12.0849609375,-53.6911832061069
12.20703125,-54.9003435114504
12.3291015625,-54.9003435114504
12.451171875,-54.9003435114504
12.5732421875,-51.2728625954198
12.6953125,-48.4514885496183
12.8173828125,-54.9003435114504
12.939453125,-54.9003435114504
13.0615234375,-54.9003435114504
13.18359375,-54.9003435114504
13.3056640625,-54.9003435114504
13.427734375,-54.9003435114504
13.5498046875,-51.6759160305343
13.671875,-50.8698091603053
13.7939453125,-54.9003435114504
13.916015625,-54.9003435114504
14.0380859375,-54.9003435114504
14.16015625,-54.9003435114504
14.2822265625,-54.9003435114504
14.404296875,-54.9003435114504
14.5263671875,-54.9003435114504
14.6484375,-54.9003435114504
14.7705078125,-54.9003435114504
14.892578125,-53.6911832061069
15.0146484375,-46.0331679389313
